DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,TC
100100001,31.2,256.7137847,3.304476664,1001,52.76951019,96.97298062,21.62964132,1.943759918,3.7845,0.106083333,22.59640819,88.88561417,1.1,48.50457863,14,0,11010,780,1,298.15,74.7139,33
100101001,31.2,249.17592,3.240009392,1001,51.7958893,96.83713724,21.99521275,1.939529844,3.7469,0.105353333,22.84377502,89.44965144,1.1,48.07811116,14,0,11010,651.78,1,298.15,80.3462,32
100010001,31.2,443.5044294,3.874740468,1001,44.54766194,64.52304038,2.237413712,1.458769119,1.763916844,0.13011,3.816306094,97.47645647,1.1,60.83814444,14,0,11010,305.313,1,298.15,87.0884,29
100100000,31,420,6,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,110,1,283.15,82,26.1
110100000,31,374.8840534,7.196553367,1001,24.11935484,37.1,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,111,1,283.15,83,25.8
110100000,31,301.1506276,9.15209205,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,121,1,283.15,65,32.6
110100000,31,384.6137184,8.776462094,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,107,1,283.15,82,26.3
110100000,31,339.3914474,12.32467105,1001,24.11935484,37,2.241,1.5,1.48,0.22,4.362139918,96.93287037,2,73,10,888,11000,109,1,283.15,77,28.1
1010000000,33.6,461.6008904,6.133807782,1000,18,47.75904098,1.703694877,2.003715418,0.797566419,0.185124444,4.206710175,97.32283514,1.5,68.14996731,15,0,100000,225.133,1,298.15,79.4502,35
1010010000,33.6,466.4166617,6.133807782,1000,18,47.65748395,1.702363627,1.998953513,0.790366419,0.185424444,4.207681596,97.32248229,1.5,68.13731759,15,0,100000,205,1,298.15,80.345,33.9
1010010000,33.6,465.9895329,6.133807782,1000,18,47.65748395,1.707609234,1.975838471,0.800940381,0.184346667,4.202225686,97.32302405,1.5,68.21433454,15,0,100000,180,1,298.15,80.4442,32.9
1010010000,33.6,466.5684435,6.133807782,1000,18,47.65748395,1.70990717,1.999772972,0.795866419,0.183235556,4.208776289,97.31718821,1.5,68.09059641,15,0,100000,195,1,298.15,80.7283,31.9
1010010000,33.6,468.1101102,6.125267446,1000,18,47.7087066,1.694436465,1.984140563,0.793802815,0.18448,4.218508859,97.31936914,1.5,68.0404123,15,0,100000,208,1,298.15,85.5888,28.8
1010010000,33.6,468.1901102,6.152267446,1000,18,47.66995537,1.700325427,1.941802901,0.797839166,0.183402222,4.21843577,97.31936914,1.5,67.97366582,15,0,100000,196,1,298.15,84.8686,27.8
110000000,31.5,465.1166275,4,1000,18,70,2.3,1.1,0.7,0.13,3.935752343,97.72977096,1.05,58.8,30,0,100000,423,1,298.15,89.7704,22.52
