DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,CS(KPa)
110010000,31,429,4.524338235,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.62131757,1.1,58.97995132,127.5,9.02,47.045,100000,96.1,0.002528736,0,88.4,357.7
110010000,31,417.0434783,4.550792839,1000,18,92.59259259,3.240740741,1.388888889,1.388888889,0.194444444,7.9218107,96.61404715,1.1,58.5125039,126.1,9.02,41.735,100000,115.1,0.002528736,0,87.1,312.4
110010000,31,404,4.579652406,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.56473627,1.1,57.48658185,112.5,9.17,38.09,100000,125.1,0.002528736,0,86.6,291.4
110010000,31,428.9540502,4.474916586,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.62131757,1.1,58.9906975,127.5,9.02,47.28,100000,98.2,0.002528736,0,88.1,378.4
110010000,31,416.9357072,4.447625037,1000,18,93.45794393,3.271028037,1.401869159,1.401869159,0.194444444,7.995846314,96.64690546,1.1,58.05934085,112.7,9.04,54.99,100000,89,0.002528736,0,87.9,345.7
110010000,31,403.810657,4.417820351,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.59013882,1.1,57.27894471,112.7,9.29,60.535,100000,85.6,0.002528736,0,86.4,339.5
110000000,31,440,4.5,1000,18,85.47008547,2.991452991,1.282051282,1.282051282,0.194444444,7.312440646,96.63651318,1.1,60.39731175,169.25,10.82,41.235,100000,88.322,0.002528736,1,88.4,191
110010000,31,429,4.524338235,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.577605,1.1,58.73519485,124.95,11.96,48.05,100000,78.802,0.002528736,1,88.4,174
110010000,31,417.0434783,4.550792839,1000,18,92.59259259,3.240740741,1.388888889,1.388888889,0.194444444,7.9218107,96.62091737,1.1,58.1920292,123.7,11.93,43.26,100000,88.627,0.002528736,1,87.1,165
110010000,31,404,4.579652406,1000,18,97.08737864,3.398058252,1.45631068,1.45631068,0.194444444,8.306364617,96.60807405,1.1,57.38343897,111.6,12.04,37.245,100000,96.327,0.002528736,1,86.6,146
110010000,31,428.9540502,4.474916586,1000,18,89.28571429,3.125,1.339285714,1.339285714,0.194444444,7.638888889,96.62673677,1.1,58.84819485,124.9,11.43,51.41,100000,73.65,0.002528736,1,88.1,185
110010000,31,416.9357072,4.447625037,1000,18,93.45794393,3.271028037,1.401869159,1.401869159,0.194444444,7.995846314,96.66489449,1.1,57.95223834,111.8,11.38,53.575,100000,65.86,0.002528736,1,87.9,181
