DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,AB_Mix_t,Q,Cata_Code,MCS,TC_Method,TC_T,Closed_CC,S_TC
110001001,31.5,411,7.13,1001,82.42925461,72,23.63,1.69,0.75,0.083,25.25631408,87.4401542,1.1,57.1,15,17.51595,100000,470,1,298.15,99,0.6159601
110001001,31.5,405,9.9,1001,80.68748677,72.9,24.14,1.71,0.759301443,0.083,25.56314857,87.36473385,1.1,56.8,15,17.42076,100000,430,1,298.15,97,0.649484536
110000001,31.5,412,4.3,1001,84.13615684,72.7,24.14,1.7,0.757002271,0.083,25.48574312,87.38367372,1.1,56.9,15,17.51595,100000,490,1,298.15,91,0.659685864
110001001,31.5,397,5.7,1001,82.70742995,75,24.17,1.76,0.78,0.083,26.28155087,87.19168093,1.1,56.2,15,17.80152,100000,470,1,298.15,92,0.645994832
110001001,31.5,421,7.13,1001,81.66386104,72,23.42,1.67,0.74,0.083,25.04960317,87.49148554,1.1,57.3,15,14.15595,100000,460,1,298.15,91,0.625954198
110001001,31.5,410,9.9,1001,81.92513363,73,23.94,1.71,0.760456274,0.083,25.60202788,87.35524257,1.1,56.8,15,4.41114,100000,630,1,298.15,95.1823,0.723577236
110000000,31.4425,446,4.6,1001,80.11456625,68,21.4,1.4,0.68,0.083,22.90249433,88.04026051,1.1,59.5,16.33,0,100000,530,1,295.65,88.01,0.685790885
110000000,31,420,4.456471807,1001,31.4300885,77,9.97,1.15,1.2,0.17,11.11111111,94.12827462,1.1,56.5,10,0,100000,430,1,283.15,88.8,0.591240876
110000100,31,412.9471198,4.136493594,1001,31.4300885,78.9,10.19,1.18,0.9,0.17,11.3735783,94.05578418,1.1,55.9,10,0,100000,322,1,283.15,90.1,0.568674699
110000100,31,409.9513784,4.204609597,1001,31.4300885,78.93,10.313,1.19,0.91,0.17,11.4638448,94.0312213,1.1,55.8,10,0,100000,247,1,283.15,89.9,0.600502513
110000100,31,398.2254791,4.138995952,1001,31.4300885,81,10.57,1.2,0.65,0.17,11.74345077,93.9562994,1.1,55,10,0,100000,254,1,283.15,91.6,0.557416268
110000100,31,387.887726,4.143559733,1001,31.4300885,84,11.05,1.27,0.68,0.17,12.24105461,93.82716049,1.1,54.1,10,0,100000,387,1,283.15,91.1,0.541176471
100100000,31,351,4.582383898,1000,18,38,1.1,0.9,0.38,0.167,2.78833967,98.01533604,1.75,72.5,15,0,100000,216.849,3,298.15,68.713,0.8374143
100010000,31,340.24,4.897690621,1000,18,1,2.6,2.17,0.87,0.167,6.376811594,96.68924003,1.75,53.5,15,0,100000,268.819,3,298.15,69.8861,0.831289848
100100000,31,438,5.039348204,1000,18,1,2.63,2.2,0.88,0.167,6.432748538,96.67422525,1.75,53.3,15,0,100000,255.657,3,298.15,72.5251,0.835414302
100010000,31,445,3.361575133,1,70.1,91,18.2,1.8,0.91,0,18.18181818,91.41630901,0.94,52.4,15,1368,100000,419.052,1,294.225,93,0.456621005
100100000,31.5,444.2,5.199751854,1000,18,84.33108677,0.842459983,1.237250582,1.616156693,0.056,4.468819825,98.90162011,1.05,35.4,10,521.04,11000,216.895,1,283.15,81.5222,0.344871295
110100000,31.5,437.0548597,5.693907499,1000,18,95.95384615,0.961538462,1.701162763,0.987239558,0.056,4.62962963,98.8239382,1.05,34.5,10,536.34,11000,286.489,1,283.15,84.7089,0.521770682
