DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,C_BA_MR,M_loss,Yield,R,CHS,A_Mix_T,AB_Mix_T,Q,Cata_Code,MCS,Closed_CC,AD,TC,CS,Quadrant,Region,Density_Level,Region_Density
1010010000,33.6,,,1000.0,,,,,,,,,1.5,,,15.0,0.0,100000,196.0,,50.6,27.8,69.6,-+,D,High,D1
110000000,31.0,420.0,4.5,1001.0,40.7102564102564,90.09459459,7.135135135,1.8,1.3,0.11,9.764764765,95.7569430851873,1.1,59.0,,8.0,0.0,100000,122.0,94.2,39.1,24.42,280.0,+-,B,Low,B2
110000000,31.0,420.0,4.5,1000.0,18.0,90.09459459,3.667567568,1.8,1.3,0.11,8.808808809,96.5631712556142,1.1,63.9,,8.0,0.0,100000,117.3,93.5,34.6,26.2,248.0,++,A,Low,A2
100000100,31.25,605.1,,,,68.96551724,,,,,,,1.0,59.1836734693878,,10.0,0.0,100100,,,39.9,18.0,131.0,--,C,High,C1
100000100,31.25,992.4,,,,42.01680672,,,,,,,1.0,70.414201183432,,10.0,0.0,100100,,,33.5,17.3,137.0,--,C,Low,C2
100000100,31.25,692.5,,,,60.24096386,,,,,,,1.0,62.406015037594,,10.0,0.0,100100,,,31.2,20.2,132.0,--,C,Low,C2
100000100,31.25,660.2,,,,63.29113924,,,,,,,1.0,61.2403100775194,,10.0,0.0,100100,,,32.8,19.1,146.0,--,C,Low,C2
100000100,31.25,660.2,,,,63.29113924,,,,,,,1.0,61.2403100775194,,10.0,0.0,100100,,,39.7,18.2,138.0,--,C,Low,C2
100000100,31.25,750.6,,,,55.55555556,,,,,,,1.0,64.2857142857143,,10.0,0.0,100100,,,34.7,18.0,133.0,--,C,Low,C2
100000100,31.25,750.6,,,,55.55555556,,,,,,,1.0,64.2857142857143,,10.0,0.0,100100,,,30.3,18.2,139.0,--,C,Low,C2
100000100,31.25,750.6,,,,55.55555556,,,,,,,1.0,64.2857142857143,,10.0,0.0,100100,,,36.6,17.3,143.0,--,C,Low,C2
100000100,31.25,555.0,,,,75.18796992,,,,,,,1.0,57.0815450643777,,10.0,0.0,100100,,,34.0,17.4,143.0,--,C,Low,C2
100000100,31.25,555.0,,,,75.18796992,,,,,,,1.0,57.0815450643777,,10.0,0.0,100100,,,35.9,16.6,162.0,--,C,Low,C2
100000100,31.25,1208.4,,,,34.60207612,,,,,,,1.0,74.293059125964,,10.0,0.0,100100,,,36.2,16.4,136.0,--,C,Low,C2
100000100,31.25,1208.4,,,,34.60207612,,,,,,,1.0,74.293059125964,,10.0,0.0,100100,,,40.3,15.1,176.0,--,C,High,C1
100000100,31.25,484.2,,,,86.20689655,,,,,,,1.0,53.7037037037037,,10.0,0.0,100100,,,32.5,15.5,141.0,--,C,Low,C2
110000000,31.4,490.0,4.3,1000.0,18.0,68.99406651,1.37988133,2.069821995,1.207396164,0.11,3.373043252,98.0575752358501,1.2,59.1736751857598,,10.0,336.0,100000,48.0,92.98,46.1,21.6,723.0,+-,B,High,B1
100010000,31.4,211.0,2.0,1000.0,18.0,83.85111396,1.677022279,0.41925557,1.467394494,0.11,4.099387794,97.812665758923,1.1,54.3918379633219,,10.0,336.0,100000,20.0,57.08,57.1,48.02,132.0,-+,D,High,D1
100010000,31.4,495.0,6.0,1000.0,18.0,84.43449994,1.688689999,0.4221725,1.477603749,0.11,4.127908886,97.804571978854,1.3,54.2197907844439,,10.0,336.0,100000,103.0,79.97,93.5,34.52,628.0,++,A,High,A1
110010000,31.5,1365.168399168399,2.667359667359667,1001.0,,66.22516556,20.86092715,1.490066225,0.662251656,0.0833333333333333,22.29580574,89.5363895363895,1.1,65.1567944250871,300.0,20.0,,100000,594.0,,42.6,34.5,240.0,++,A,High,A1
110010000,31.5,1362.050297347308,2.84450454266144,1001.0,,66.22516556,20.86092715,1.490066225,0.662251656,0.0833333333333333,22.29580574,89.5037672122629,1.1,65.034965034965,300.0,15.0,,100000,377.0,,44.5,22.6,250.0,+-,B,High,B1
110010000,31.5,1358.92020007374,3.0223309008188,1001.0,,66.66666667,21.0,1.5,0.666666667,0.0833333333333333,22.44444444,89.4709408391973,1.1,64.9122807017544,300.0,20.0,,100000,422.0,,44.3,23.0,300.0,+-,B,High,B1
110010000,31.5,1326.943950291527,4.838958164872107,1001.0,,68.02721088,21.42857143,1.530612245,0.680272109,0.0833333333333333,22.90249433,89.2352784439115,1.1,64.0287769784173,300.0,20.0,,100000,400.0,,44.0,23.5,300.0,+-,B,High,B1
110000000,31.4,490.0,4.3,1000.0,18.0,68.99406651,1.37988133,2.069821995,1.207396164,0.111111111111111,3.339312819,98.0769994834916,1.2,59.1736751857598,15.0,15.0,336.0,100000,,,46.1,21.6,723.0,+-,B,High,B1
110010000,31.4,447.2602739726028,,1000.0,18.0,76.10350076,1.522070015,2.283105023,1.331811263,0.111111111111111,3.683409437,97.9676674364896,1.26,56.7847882454624,15.0,15.0,336.0,100000,,,42.3,22.0,357.0,+-,B,High,B1
110010000,31.4,393.0051813471502,,1000.0,18.0,84.83922966,1.696784593,2.54517689,1.484686519,0.111111111111111,4.106218716,97.845249755142,1.28,54.1010694450819,15.0,15.0,336.0,100000,,,38.5,22.6,285.0,+-,B,Low,B2
110010000,31.4,360.0,,1000.0,18.0,90.0090009,1.800180018,2.700270027,1.575157516,0.111111111111111,4.356435644,97.7782878127152,1.3,52.6290857413548,15.0,15.0,336.0,100000,,,37.6,23.2,226.0,+-,B,Low,B2
110000000,32.5,380.0,,1000.0,18.0,34.92717684,1.746358842,1.746358842,1.32723272,0.277777777777778,4.268877169,96.9452844912094,1.1,74.1140534803655,30.0,7.0,,101000,215.7,93.2,43.4,34.99,256.0,++,A,High,A1
110100000,32.5,370.3490799230981,,1000.0,18.0,35.97122302,1.798561151,1.798561151,1.366906475,0.277777777777778,4.396482814,96.8804945834042,1.1,73.5449735449735,30.0,7.0,,101000,,,39.41,36.02,232.0,++,A,Low,A2
110100000,32.5,359.8167719701321,,1000.0,18.0,37.08098487,1.854049244,1.854049244,1.409077425,0.277777777777778,4.532120373,96.8128136481114,1.1,72.949578013417,30.0,7.0,,101000,,,37.05,35.99,170.0,-+,D,Low,D2
110100000,32.5,348.276557327716,,1000.0,18.0,38.25993802,1.912996901,1.912996901,1.453877645,0.277777777777778,4.676214647,96.7422176020945,1.1,72.3275313390708,30.0,7.0,,101000,,51.7,35.01,35.9,163.0,-+,D,Low,D2
110100000,32.5,335.5764854614413,,1000.0,18.0,39.51788184,1.975894092,1.975894092,1.50167951,0.277777777777778,4.829963336,96.6683325004165,1.1,71.6754000849738,30.0,7.0,,101000,,,34.82,35.62,167.0,-+,D,Low,D2
110100000,32.5,321.5324459234609,,1000.0,18.0,40.85968783,2.042984392,2.042984392,1.552668138,0.277777777777778,4.993961846,96.5911133423824,1.1,70.9926321285607,30.0,7.0,,101000,351.0,18.1,34.62,35.24,159.0,-+,D,Low,D2
110000000,32.5,450.0,,1000.0,18.0,30.23431595,1.511715797,1.511715797,1.148904006,0.277777777777778,3.695305283,97.2506529699196,1.1,76.7846778874057,30.0,7.0,,101000,318.5,95.2,44.71,34.03,320.0,++,A,High,A1
110100000,32.5,438.1505502224304,,1000.0,18.0,31.44654088,1.572327044,1.572327044,1.194968553,0.277777777777778,3.843466108,97.1694714631259,1.1,76.0765550239234,30.0,7.0,,101000,,,41.05,35.52,234.0,++,A,High,A1
110100000,32.5,424.958436417615,,1000.0,18.0,32.76110601,1.638055301,1.638055301,1.244922029,0.277777777777778,4.00413518,97.0832803020661,1.1,75.3232652255454,30.0,7.0,,101000,,,37.12,35.96,196.0,-+,D,Low,D2
110100000,32.5,410.1817466561762,,1000.0,18.0,34.19037199,1.7095186,1.7095186,1.299234136,0.277777777777778,4.178823243,96.9916751446731,1.1,74.5209947003669,30.0,7.0,,101000,,58.5,34.18,35.9,160.0,-+,D,Low,D2
110100000,32.5,393.5167410714285,,1000.0,18.0,35.75003575,1.787501788,1.787501788,1.358501359,0.277777777777778,4.369448814,96.8941293397484,1.1,73.6648056462657,30.0,7.0,,101000,,,28.88,36.18,122.0,-+,D,Low,D2
110100000,32.5,374.5767511177347,,1000.0,18.0,37.45879533,1.872939766,1.872939766,1.423434222,0.277777777777778,4.578297206,96.7900456397147,1.1,72.7490734684979,30.0,7.0,,101000,372.0,9.0,28.44,35.9,109.0,-+,D,Low,D2
110000100,31.0,444.1441441441442,,1000.0,18.0,54.64480874,0.273224044,2.18579235,2.18579235,0.0277777777777778,0.667880996,99.5792694587875,0.8,64.6643109540636,20.0,10.0,47.0,100100,,,66.6,40.0,388.0,++,A,High,A1
110000100,31.0,444.1441441441441,,1000.0,18.0,51.28205128,0.512820513,2.051282051,2.051282051,0.0555555555555556,1.253561254,99.1932526585992,0.8,66.1016949152542,20.0,10.0,47.0,100100,,,63.9,38.0,360.0,++,A,High,A1
110000100,31.0,444.1441441441441,,1000.0,18.0,48.30917874,0.724637681,1.93236715,1.93236715,0.0833333333333333,1.771336554,98.837823560486,0.8,67.4267100977199,20.0,10.0,47.0,100100,,,52.6,37.0,284.0,++,A,High,A1
110000100,31.0,444.1441441441441,,1000.0,18.0,45.66210046,0.913242009,1.826484018,1.826484018,0.111111111111111,2.232369356,98.5094850948509,0.8,68.6520376175549,20.0,10.0,47.0,100100,,,47.0,35.0,258.0,++,A,High,A1
110000100,31.0,444.1441441441442,,1000.0,18.0,43.29004329,1.082251082,1.731601732,1.731601732,0.138888888888889,2.645502646,98.2052537118616,0.8,69.7885196374622,20.0,10.0,47.0,100100,,,41.6,34.0,147.0,-+,D,High,D1
110000100,31.0,442.0814479638009,,1000.0,18.0,45.87155963,0.917431193,1.834862385,1.834862385,0.111111111111111,2.242609582,98.5049269452939,0.8,68.5534591194968,20.0,10.0,47.0,100100,,,46.7,34.0,237.0,++,A,High,A1
110000100,31.0,446.1883408071749,,1000.0,18.0,45.45454545,0.909090909,1.818181818,1.818181818,0.111111111111111,2.222222222,98.5140155352921,0.8,68.75,20.0,10.0,47.0,100100,,,48.7,33.0,277.0,++,A,High,A1
110000100,31.0,448.2142857142857,,1000.0,18.0,45.45454545,0.909090909,1.818181818,1.818181818,0.111111111111111,2.222222222,98.5140155352921,0.8,68.75,20.0,10.0,47.0,100100,,,50.5,32.0,286.0,++,A,High,A1
110000000,31.0,430.983606557377,3.681967213114754,1000.0,18.0,57.7700751,2.021952629,0.866551127,0.866551127,0.194444444444444,4.94255087,96.9400731203306,1.1,63.3833760527279,,,,100000,,94.3,38.5,22.5,251.0,+-,B,Low,B2
110010000,31.0,354.0909090909091,3.870909090909091,1000.0,18.0,71.8907261,2.228612509,1.078360891,1.078360891,0.172222222222222,5.447719466,96.9095522929128,1.1,58.1764951902969,,,,100000,,94.0,38.6,23.5,321.0,+-,B,Low,B2
110010000,31.0,381.3326885880078,3.147311411992264,1000.0,18.0,60.16847172,2.466907341,0.902527076,0.902527076,0.227777777777778,6.030217944,96.3328861243241,1.1,62.4342599549211,,,,100000,,87.2,37.0,23.4,174.0,--,C,Low,C2
110010000,31.0,423.2311557788945,2.607989949748744,1000.0,18.0,59.52380952,1.964285714,0.892857143,0.892857143,0.183333333333333,4.801587302,97.0591809454369,1.1,62.6865671641791,,,,100000,,93.0,36.5,24.5,164.0,--,C,Low,C2
110000010,31.0,450.0,3.0,1000.0,18.0,56.49717514,0.225988701,1.186440678,0.225988701,0.0222222222222222,0.552416824,99.6580000777273,1.05,63.898916967509,120.0,30.0,48.0,100000,150.0,96.3,148.0,30.6,2890.0,++,A,High,A1
110000010,31.0,450.0,3.0,1000.0,18.0,55.55555556,0.333333333,1.166666667,0.222222222,0.0333333333333333,0.814814815,99.4926784273031,1.05,64.2857142857143,120.0,30.0,48.0,100000,155.0,96.1,122.0,46.2,1920.0,++,A,High,A1
110000010,31.0,450.0,3.0,1000.0,18.0,54.64480874,0.43715847,1.147540984,0.218579235,0.0444444444444445,1.068609593,99.3309765461664,1.05,64.6643109540636,120.0,30.0,48.0,100000,180.0,95.1,105.0,42.5,1270.0,++,A,High,A1
110000010,31.0,450.0,3.0,1000.0,18.0,53.47593583,0.534759358,1.122994652,0.213903743,0.0555555555555556,1.307189542,99.1755667978265,1.05,65.1567944250871,120.0,30.0,48.0,100000,206.0,94.0,90.0,41.1,1040.0,++,A,High,A1
110000010,31.0,450.0,3.0,1000.0,18.0,52.63157895,0.631578947,1.105263158,0.210526316,0.0666666666666667,1.543859649,99.0212434656879,1.05,65.5172413793103,120.0,30.0,48.0,100000,253.0,93.1,81.0,40.9,890.0,++,A,High,A1
110000010,31.0,450.0,3.0,1000.0,18.0,51.8134715,0.725388601,1.088082902,0.207253886,0.0777777777777778,1.773172136,98.8701808444298,1.05,65.8703071672355,120.0,30.0,48.0,100000,254.0,92.8,78.0,39.8,810.0,++,A,High,A1
