DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,CS_rate,CS_TD,Closed_CC,S_CS
110000001,31.5,406,4.3,1001,48.49729531,72.7,24.14,1.7,0.76,0.083,25.50505051,87.37894408,1.1,56.9,300,15,3.84,100000,510,0.002083333,0,94,4.972375691
110001001,31.5,390,5.7,1001,45.93163967,75,24.17,1.76,0.78,0.083,26.26105044,87.19655194,1.1,56.2,300,15,17.04,100000,460,0.002083333,0,97,3.626943005
110001001,31.5,411,7.13,1001,47.93874367,72,23.63,1.69,0.75,0.083,25.25631408,87.4401542,1.1,57.1,300,15,30.48,100000,470,0.002083333,0,99,3.740648379
110001001,31.5,405,9.9,1001,47.38019203,72.9,24.14,1.71,0.759301443,0.083,25.56314857,87.36473385,1.1,56.8,300,15,67.44,100000,430,0.002083333,0,97,3.865979381
110000001,31.5,412,4.3,1001,54.03351578,72.7,24.14,1.7,0.757002271,0.083,25.48574312,87.38367372,1.1,56.9,300,15,3.84,100000,490,0.002083333,0,91,3.664921466
110001001,31.5,397,5.7,1001,50.92574047,75,24.17,1.76,0.78,0.083,26.28155087,87.19168093,1.1,56.2,300,15,17.04,100000,470,0.002083333,0,92,4.134366925
110001001,31.5,421,7.13,1001,53.47496413,72,23.42,1.67,0.74,0.083,25.04960317,87.49148554,1.1,57.3,300,15,30.48,100000,460,0.002083333,0,91,5.089058524
110001001,31.5,410,9.9,1001,47.15308946,73,23.94,1.71,0.760456274,0.083,25.60202788,87.35524257,1.1,56.8,300,15,74.16,100000,630,0.002083333,0,96.2808,2.43902439
110000001,31.5,406,4.3,1001,48.49729531,72.7,24.14,1.7,0.76,0.083,25.50505051,87.37894408,1.1,56.9,300,15,3.84,100000,430,0.002083333,1,94,4.419889503
110001001,31.5,390,5.7,1001,45.93163967,75,24.17,1.76,0.78,0.083,26.26105044,87.19655194,1.1,56.2,300,15,20.4,100000,431,0.002083333,1,97,3.10880829
110001001,31.5,411,7.13,1001,47.93874367,72,23.63,1.69,0.75,0.083,25.25631408,87.4401542,1.1,57.1,300,15,33.84,100000,493,0.002083333,1,99,3.241895262
110001001,31.5,405,9.9,1001,47.38019203,72.9,24.14,1.71,0.759301443,0.083,25.56314857,87.36473385,1.1,56.8,300,15,67.44,100000,387,0.002083333,1,97,3.865979381
110000001,31.5,412,4.3,1001,54.03351578,72.7,24.14,1.7,0.757002271,0.083,25.48574312,87.38367372,1.1,56.9,300,15,3.84,100000,455,0.002083333,1,91,3.926701571
110001001,31.5,397,5.7,1001,50.92574047,75,24.17,1.76,0.78,0.083,26.28155087,87.19168093,1.1,56.2,300,15,17.04,100000,382,0.002083333,1,92,4.134366925
110001001,31.5,421,7.13,1001,53.47496413,72,23.42,1.67,0.74,0.083,25.04960317,87.49148554,1.1,57.3,300,15,30.48,100000,443,0.002083333,1,91,4.325699746
110001001,31.5,410,9.9,1001,47.15308946,73,23.94,1.71,0.760456274,0.083,25.60202788,87.35524257,1.1,56.8,300,15,74.16,100000,580,0.002083333,1,96.2808,1.89701897
110000000,31.561,446,4.6,1001,82.63441473,68,21.4,1.4,0.68,0.083,22.90249433,88.04026051,1.1,59.5,1200,18.09,0,100000,530,0.002083333,0,88.01,5.63002681
110000000,31.4485,446,4.6,1001,82.63441473,68,21.4,1.4,0.68,0.083,22.90249433,88.04026051,1.1,59.5,1200,17.72,0,100000,504.544,0.002083333,1,88.01,4.021447721
110010000,32.6,370,3.870320856,1000,18,60,0.83,0.151,0.83,0.0764,2.02476573,98.75051632,1.06,63.8,67.1,8,23.5,100000,427,0.002500044,0,91,7.601078167
110010000,32.6,370,3.870320856,1000,18,60,0.83,0.151,0.83,0.0764,2.02476573,98.75051632,1.06,63.8,78.85,8,23.5,100000,529.5,0.002500044,1,91,6.091644205
100010000,31,445,5.960935514,1,70.1,91,18.2,1.8,0.91,0,18.18181818,91.41630901,0.94,52.4,60,15,1368,100000,243.2431,0.001666667,0,93,9.132420091
100100000,31.5,444.2,5.47754115,1000,18,84.33108677,0.842459983,1.285341164,0.243640783,0.056,4.468819825,98.45825011,1.05,35.4,120,10,648.905,11000,224.1506,0.001668693,0,78.5855,9.896645866
110100000,31.5,437.0548597,5.072699097,1000,18,95.95384615,0.961538462,1.583235099,0.870071951,0.056,4.62962963,98.43955031,1.05,34.5,120,10,635.705,11000,283.989,0.001799484,0,86.1196,9.100145138
110100000,31.5,428.5383998,5.172523994,1000,18,105.0223158,1.052631579,1.594549664,0.870071951,0.056,4.811898513,98.4193699,1.05,33.7,120,10,635.41,11000,295.694,0.001800534,0,86.1388,7.499622755
110100000,31.5,418.1309043,5.368744114,1000,18,116.6534884,1.162790698,1.604685197,0.892044997,0.056,5.01939311,98.39761098,1.05,32.8,120,10,635.41,11000,319.752,0.001810205,0,85.8249,5.997273966
110000000,31.4565,446,4.6,1001,48.38061403,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,424.9,15.82,0,100000,516,0.001984171,0,91.1,5.352112676
110010000,31.4515,435.8960504,4.432762213,1001,50.84192316,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,431.5,15.97,0,100000,448,0.001988625,0,89.5,5.464480874
110010000,31.4515,425.5281063,4.261154862,1001,49.16626823,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,433.9,15.95,0,100000,480,0.001984171,0,90.1,5.866666667
110010000,31.4515,413.5933891,4.063614717,1001,47.52347727,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,433.9,15.82,0,100000,739,0.001984171,0,92.2,5.191256831
110010000,31.4515,387.9340891,3.638909061,1001,42.93647903,96.5,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,433.9,15.87,0,100000,748,0.001983908,0,95.6,4.213483146
110000000,31.387,446,4.6,1001,48.38061403,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,424.9,15.57,0,100000,514.9076,0.001959277,1,91.1,4.253521127
110010000,31.455,435.8960504,4.432762213,1001,50.61482059,97.1,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,413.5,15.72,0,100000,515.91,0.001988625,1,89.5,4.289617486
110010000,31.4565,425.5281063,4.261154862,1001,48.93916567,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,424.9,15.82,0,100000,533.2,0.001984171,1,90.1,4.773333333
110010000,31.4565,413.5933891,4.063614717,1001,47.29637471,97,30.5,1.9,0.97,0.083,32.68608414,85.8245614,1.03,50.7,415.9,15.62,0,100000,702.08,0.001984171,1,92.2,3.989071038
