DIPOCE,DI_NCO,PO_HV,PO_f,BA_Code,BA_Mn,PO_Phr,BA_Phr,FS_Phr,Cata_Phr,f(H2O),M_loss,Yield,R,CHS,A_Mix_t,AB_Mix_t,Q,Cata_Code,MCS,AD(kg/m3)
101001000,31.3905,494.1196487,4.705084271,1,148.1,97.1,1.7,1.728790909,0.1,0,1.747572816,99.12578922,1.54,50.7,600,10,0,100000,448,36.2
101001000,31.3775,484.2198603,4.926392069,1,148.1,97.1,2.6,1.698766219,0.15,0,2.621359223,98.69785387,1.53,50.7,600,10,0,100000,393,41.7
101001000,31.398,473.4426404,4.870659278,1,148.1,97.1,3.5,1.726264888,0.2,0,3.495145631,98.27586207,1.52,50.7,600,10,0,100000,255,53.3
101100000,31.3055,402.485228,4.616851873,1,148.1,97.1,0.87,1.719216245,0.315236489,0,0.873786408,99.55979457,1.57,50.7,600,10,0,100000,419,35.5
101100000,31.321,399.891446,4.635369653,1,148.1,97.1,1.7,1.728810172,0.386687741,0,1.747572816,99.12578922,1.56,50.7,600,10,0,100000,347,38.5
101100000,31.3535,391.0062907,4.820502239,1,148.1,97.1,2.6,1.777798066,0.477590328,0,2.621359223,98.69785387,1.54,50.7,600,10,0,100000,305,41.6
101100000,31.3555,385.3580671,4.780976015,1,148.1,97.3,3.5,1.781314691,0.478249043,0,3.495145631,98.27586207,1.53,50.7,600,10,0,100000,304,42.2
110010000,31.5,424.1715521,5.198026677,101,135.9386542,72.5,1.1,1.45,0.72,0.052649556,22.77657267,88.45307918,1.1,58,1200,20,0,100000,518,37.7
110010000,31.5,424.1715521,5.170326677,101,134.4576542,72,1.08,1.44,0.72,0.052592556,22.67818575,88.4784199,1.1,58.1,1200,20,0,100000,522,37.92
100010000,31.5,323,4.705119872,1000,18,66,2,1.3,1.99,0.167,4.856512141,97.16859717,1.25,60.2,78.57,9.59,111.435,100100,152,48.5
100010010,31.5,323,4.728366175,1000,18,65,2.05,1.4,2.02,0.167,5.005688282,97.11853307,1.25,61,75.27,9.6,92.82,100100,170,38.5
100010010,31.5,323,4.66059704,1000,18,64,2.13,1.42,2.15,0.167,5.200945626,97.05488621,1.25,61,73.22,9.66,72.03519,100100,186,40.7
100010010,31.5,323,4.724596067,1000,18,62,2.19,1.5,2.18,0.167,5.352798054,97.00680272,1.25,61.7,70.32,9.76,82.99519,100100,204,42.2
100010010,31.5,323,4.693299276,1000,18,61,2.3,1.5,2.31,0.167,5.555555556,96.94444444,1.25,62.3,68.37,9.85,73.96038,100100,207,41.9
100010010,31.5,323,4.747575387,1000,18,59,2.4,1.57,2.34,0.167,5.756148613,96.8847352,1.25,63,64.3,10.16,75.58019,100100,305,42.4
100010001,31.5,323,4.711473364,1000,18,65,2.05,1.4,2.02,0.167,5.005688282,97.11853307,1.25,61,78.87,9.6,99.13,100100,149,41.1
100010001,31.5,323,4.66812151,1000,18,64,2.13,1.42,2.15,0.167,5.200945626,97.05488621,1.25,61,73.22,9.66,72.03519,100100,196,40.5
100010001,31.5,323,4.710725566,1000,18,62,2.19,1.5,2.18,0.167,5.352798054,97.00680272,1.25,61.7,70.32,9.76,82.99519,100100,202,43.2
100010001,31.5,323,4.693770254,1000,18,61,2.3,1.5,2.31,0.167,5.555555556,96.94444444,1.25,62.3,70.27,10.08,77.22519,100100,213,46.5
100010001,31.5,323,4.884308416,1000,18,59,2.4,1.57,2.34,0.167,5.756148613,96.8847352,1.25,63,68.72,10.57,81.13519,100100,259,52.6
110000001,31.5,406,4.3,1001,88.15779246,72.7,24.14,1.7,0.76,0.083,25.50505051,87.37894408,1.1,56.9,300,15,7.00557,100000,510,36.2
110001001,31.5,390,5.7,1001,88.15000283,75,24.17,1.76,0.78,0.083,26.26105044,87.19655194,1.1,56.2,300,15,14.11038,100000,460,38.6
110001001,31.5,411,7.13,1001,88.74564418,72,23.63,1.69,0.75,0.083,25.25631408,87.4401542,1.1,57.1,300,15,14.29538,100000,470,40.1
110001001,31.5,405,9.9,1001,88.74564418,72.9,24.14,1.71,0.759301443,0.083,25.56314857,87.36473385,1.1,56.8,300,15,20.83038,100000,430,38.8
110000001,31.5,412,4.3,1001,88.15779246,72.7,24.14,1.7,0.757002271,0.083,25.48574312,87.38367372,1.1,56.9,300,15,7.00557,100000,490,38.2
110001001,31.5,397,5.7,1001,88.15000283,75,24.17,1.76,0.78,0.083,26.28155087,87.19168093,1.1,56.2,300,15,14.11038,100000,470,38.7
110001001,31.5,421,7.13,1001,89.6162634,72,23.42,1.67,0.74,0.083,25.04960317,87.49148554,1.1,57.3,300,15,17.47038,100000,460,39.3
110001001,31.5,410,9.9,1001,88.42222331,73,23.94,1.71,0.760456274,0.083,25.60202788,87.35524257,1.1,56.8,300,15,14.11038,100000,630,36.9
110000000,31.48,446,4.6,1001,94.7559068,68,21.4,1.4,0.68,0.083,22.90249433,88.04026051,1.1,59.5,1200,18.51,0,100000,530,37.3
110000000,31,420,4.154736203,1001,31.4300885,77,9.97,1.15,1.2,0.17,11.11111111,94.12827462,1.1,56.5,75.64,10,0,100000,430,41.1
110000100,31,412.9471198,3.939408671,1001,31.4300885,78.9,10.19,1.18,0.9,0.17,11.3735783,94.05578418,1.1,55.9,121.14,10,0,100000,322,41.5
110000100,31,409.9513784,3.974511936,1001,31.4300885,78.93,10.313,1.19,0.91,0.17,11.4638448,94.0312213,1.1,55.8,120.76,10,0,100000,247,39.8
110000100,31,398.2254791,3.703726054,1001,31.4300885,81,10.57,1.2,0.65,0.17,11.74345077,93.9562994,1.1,55,145.65,10,0,100000,254,41.8
110000100,31,387.887726,3.714996312,1001,31.4300885,84,11.05,1.27,0.68,0.17,12.24105461,93.82716049,1.1,54.1,146.96,10,0,100000,387,42.5
110010000,32.6,370,3.870320856,1000,18,60,0.83,0.151,0.83,0.0764,2.02476573,98.75051632,1.06,63.8,82.91,8,23.5,100000,427,74.2
100100000,31,351,5.244422747,1000,18,38,1.1,0.9,0.38,0.167,2.78833967,98.01533604,1.75,72.5,123.86,15,0,100000,215.6705,40.84
100010000,31,340.24,4.826631578,1000,18,1,2.6,2.17,0.87,0.167,6.376811594,96.68924003,1.75,53.5,104.49,15,0,100000,241.223,40.78
100100000,31,438,4.920501834,1000,18,1,2.63,2.2,0.88,0.167,6.432748538,96.67422525,1.75,53.3,109.26,15,0,100000,208.1705,44.05
100010000,31,445,4.191859617,1,70.1,91,18.2,1.8,0.91,0,18.18181818,91.41630901,0.94,52.4,60,15,1368,100000,409.17,43.8
100100000,31.5,444.2,4.338505615,1000,18,84.33108677,1.83,1.601057791,1.191692679,0.056,4.468819825,98.45825011,1.05,35.4,120,10,561.6,11000,216.477,102.56
110100000,31.5,437.0548597,5.192700675,1000,18,95.95384615,1.9,1.675612389,1.248271839,0.056,4.62962963,98.43955031,1.05,34.5,120,10,571.44,11000,252.3955,68.9
110100000,31.5,428.5383998,5.203700675,1000,18,105.0223158,1.97,1.667020061,1.279579011,0.056,4.811898513,98.4193699,1.05,33.7,120,10,564.96,11000,255.4055,66.27
